ablation,n_seeds,spearman_mean_of_medians_mean,spearman_mean_of_medians_sd,f1_mean_mean,f1_mean_sd,sum_rssd_mean_mean,sum_rssd_mean_sd,spearman_mean_of_medians_delta,spearman_mean_of_medians_better,spearman_mean_of_medians_t,spearman_mean_of_medians_p,spearman_mean_of_medians_n_pair,spearman_mean_of_medians_sig,f1_mean_delta,f1_mean_better,f1_mean_t,f1_mean_p,f1_mean_n_pair,f1_mean_sig,sum_rssd_mean_delta,sum_rssd_mean_better,sum_rssd_mean_t,sum_rssd_mean_p,sum_rssd_mean_n_pair,sum_rssd_mean_sig
baseline,10,0.4723293137169467,0.00498957992882274,0.06241396552797242,0.0007661665513006417,75.90580914916407,1.2871073043551666,,,,,,,,,,,,,,,,,,
K16,10,0.46901766338720224,0.005185159766062882,0.062079085891106,0.0006098824329101504,76.05798304373994,1.2174369758858647,-0.0033116503297444533,False,-1.4493120953544898,0.1811831457840537,10.0,,-0.000334879636866417,False,-1.0607713609704017,0.31642952288200454,10.0,,0.15217389457586705,False,0.2792942202780689,0.7863311043463002,10.0,
K2,10,0.4547579172026869,0.011604320952678982,0.0607258106069782,0.0012334184815803104,78.27579008253146,1.97383565248896,-0.01757139651425982,False,-3.7281647401519855,0.004710804954439144,10.0,**,-0.0016881549209942157,False,-3.109765171666696,0.012523602113897157,10.0,*,2.369980933367387,False,2.7775245214175297,0.021487543397903677,10.0,*
diffusion,10,0.469281896213377,0.007978947950340532,0.060625119880289936,0.0005690488524979032,76.52843713637641,1.2536085914664925,-0.0030474175035696827,False,-0.9864753993117631,0.34967614744913544,10.0,,-0.0017888456476824813,False,-8.585723877777573,1.2532818466153521e-05,10.0,***,0.6226279872123399,False,0.9207791910723055,0.38118435625750824,10.0,
edm_off,10,0.4604293731565793,0.010306047395862127,0.06119749028267731,0.000853621603494435,77.63275415100935,1.067538783363659,-0.011899940560367417,False,-3.0740790063520222,0.013266261670077346,10.0,*,-0.0012164752452951053,False,-2.758536241593069,0.022165156855541303,10.0,*,1.72694500184528,False,3.7686675174047255,0.004425528400076659,10.0,**
heads16,10,0.4635546239733784,0.007801258147859015,0.06113779920782495,0.0007426308239381104,76.67168118857947,1.671336391378485,-0.00877468974356832,False,-3.2198897901098293,0.010491242560822773,10.0,*,-0.0012761663201474663,False,-4.188363344226824,0.0023468033241216915,10.0,**,0.7658720394153988,False,1.1686907397339763,0.2725512028441871,10.0,
