ablation,n_seeds,spearman_mean_of_medians_mean,spearman_mean_of_medians_sem,f1_mean_mean,f1_mean_sem,sum_rssd_mean_mean,sum_rssd_mean_sem
baseline,10,0.4723293137169466,0.0015778437142540682,0.06241396552797242,0.00024228313691462697,75.90580914916407,0.40701906748018857
K16,10,0.46901766338720235,0.0016396914892624552,0.062079085891106,0.00019286175929209088,76.05798304373995,0.384987375150682
K2,10,0.4547579172026869,0.003669608491008059,0.060725810606978216,0.0003900411709940219,78.27579008253146,0.6241816388709714
K4,1,0.4614519089305443,0.0,0.0619956163663621,0.0,75.73534213077752,0.0
diffusion,10,0.469281896213377,0.002523164885500814,0.060625119880289936,0.00017994904737985703,76.52843713637641,0.3964258443389637
edm_off,10,0.4604293731565793,0.0032590583444571304,0.06119749028267731,0.0002699388526967562,77.63275415100935,0.33758540459942293
heads16,10,0.4635546239733784,0.002466974436218111,0.06113779920782495,0.00023484048642919233,76.67168118857947,0.5285229733082618
