ablation,seed,timestamp,spearman_mean_of_medians,f1_mean,sum_rssd_mean
K16,0,20260701_233027,0.4651030131739144,0.0619893394355038,76.43958531493564
K16,1,20260701_233029,0.464759952836047,0.0621126294428481,75.34663500713923
K16,2,20260701_233032,0.4649477345503089,0.0614233957875181,78.13267446096597
K16,3,20260701_233034,0.466289619039592,0.0624471269208032,75.0116995660867
K16,4,20260701_233036,0.4693786005522185,0.061736412715579,74.43753073167822
K16,5,20260702_152756,0.4756502696852427,0.0632355243859432,77.31978173008714
K16,6,20260702_152758,0.4683961081955569,0.0610366772773421,76.821473047126
K16,7,20260702_152800,0.4641410033664259,0.0622841165413814,75.92828324078992
K16,8,20260702_152803,0.4793213987740296,0.062015732566351,76.57028398731214
K16,9,20260702_152805,0.472188933698687,0.0625099038377902,74.57188335127857
K2,0,20260701_233016,0.4688506454932691,0.0618450747121639,75.58999086478575
K2,1,20260701_233018,0.4744181230209291,0.0625929708445859,76.87089956372563
K2,2,20260701_233020,0.4392451424451171,0.0600758047564336,79.24937053559606
K2,3,20260701_233022,0.4482229768002858,0.0600669163039581,77.40418854064202
K2,4,20260701_233025,0.445274832051286,0.0603542585831451,80.95761653448369
K2,5,20260702_152744,0.4428857091567698,0.0587368570924368,79.95393672931006
K2,6,20260702_152746,0.4497968497272659,0.0601014322423897,80.5783657288546
K2,7,20260702_152749,0.4611040141213474,0.0618493178777793,75.4726310314454
K2,8,20260702_152751,0.4562882073483663,0.0597376449854834,77.63576094477902
K2,9,20260702_152753,0.4614926718622327,0.0618978286714062,79.04514035169235
K4,0,20260702_144007,0.4614519089305443,0.0619956163663621,75.73534213077752
baseline,0,20260701_232930,0.4688746751727862,0.0616994175908569,77.38169782547284
baseline,1,20260701_232932,0.4688887566812971,0.0624000760063821,77.74182481963707
baseline,2,20260701_232934,0.4766693206479048,0.0637631353036023,74.92155569889022
baseline,3,20260701_232937,0.4686989882566131,0.0616575152907589,75.65807157551441
baseline,4,20260701_232939,0.4778328801910848,0.0630307554898128,74.79420908494323
baseline,5,20260702_152658,0.4709498287962229,0.0632566436771302,77.81393624976181
baseline,6,20260702_152700,0.4824357745496807,0.0618774027820057,74.36430789383795
baseline,7,20260702_152702,0.4674473287017125,0.0625811869685304,74.89325728812446
baseline,8,20260702_152705,0.4691497752952089,0.062445684394909,75.73013561049012
baseline,9,20260702_152707,0.4723458088769552,0.0614278377757358,75.75909544496848
diffusion,0,20260701_232953,0.456464254797169,0.0605983940184551,78.08049712359951
diffusion,1,20260701_232955,0.4790062575889383,0.0610113903238152,75.16559785232633
diffusion,2,20260701_232957,0.477657927490642,0.0615945636922774,75.32940384467246
diffusion,3,20260701_232959,0.4720454284991942,0.0603793508091439,76.82836659978453
diffusion,4,20260701_233002,0.4703479292357784,0.0601311570910859,76.94945554291832
diffusion,5,20260702_152721,0.4775164655622699,0.0611822060601293,74.8250796033484
diffusion,6,20260702_152723,0.4613252880548305,0.0596176285425299,78.37532289596551
diffusion,7,20260702_152725,0.4718574881454174,0.0607981120904068,76.91395819577063
diffusion,8,20260702_152728,0.4597041399059918,0.060228081994771,77.32562607354825
diffusion,9,20260702_152730,0.4668937828535379,0.0607103141802848,75.49106363183013
edm_off,0,20260701_232941,0.4657702999824776,0.0623828260379948,77.84287542961431
edm_off,1,20260701_232943,0.4646490408311367,0.0610225656101311,77.93209303009732
edm_off,2,20260701_232946,0.4688688356054447,0.0611278430972622,77.29633832194135
edm_off,3,20260701_232948,0.4720375724359827,0.0616261903028467,75.68037693606786
edm_off,4,20260701_232950,0.4397718842564078,0.0601131996565067,78.52786751107456
edm_off,5,20260702_152709,0.453612296186181,0.0605724738421199,79.28302386209008
edm_off,6,20260702_152712,0.4619162859023319,0.0604043617821062,77.62981955642329
edm_off,7,20260702_152714,0.4592561899679975,0.0622356951024115,78.58501862768783
edm_off,8,20260702_152716,0.4486264614747104,0.0603349202673505,77.15934636478366
edm_off,9,20260702_152718,0.4697848649231226,0.0621548271280436,76.39078187031316
heads16,0,20260701_233004,0.462788605959907,0.061340688750866,75.2816038813293
heads16,1,20260701_233006,0.4690108221052474,0.0620162220029154,77.22414184830076
heads16,2,20260701_233009,0.4592534420820663,0.0614808644343477,77.89002504304028
heads16,3,20260701_233011,0.4573471154716582,0.0600911913214337,79.32208562228787
heads16,4,20260701_233013,0.4706611666071213,0.0610693726712209,75.086961803107
heads16,5,20260702_152732,0.4484147071783514,0.0606646031662874,77.65176377242034
heads16,6,20260702_152735,0.4644924004354976,0.0610450070659235,75.76107761140851
heads16,7,20260702_152737,0.4587671091965862,0.0603344832010489,78.65681847508439
heads16,8,20260702_152739,0.472681998085679,0.062531883281929,74.81325927636752
heads16,9,20260702_152742,0.4721288726116689,0.060803676182277,75.02907455244873
