epoch,test/precision,test/F1,test/Spearman's Rank Correlation (Median),test/Spearman's Rank Correlation (Average),test/rssd_absolute,test/mean_rssd,test/sum_rssd
249,0.2532117956652452,0.2532117956652452,0.44505381704028757,0.36644189686776446,19.01253397887707,3.5409337537652052,79.24620822588064
499,0.25828901095188445,0.25828901095188445,0.4309242054987963,0.35161818004699763,19.562682270306915,3.6319266498900524,81.29148328698153
749,0.2655566873636036,0.2655566873636036,0.44250989880718467,0.36396467228259666,19.206757422142278,3.5675023279054696,79.82952686856622
999,0.2668936625168439,0.2668936625168439,0.4497548837824973,0.37306222866272354,18.993376660284024,3.5283809809096898,78.9618580899599
