test/epoch,test/precision,test/Spearman's Rank Correlation (Median),test/Spearman's Rank Correlation (Average),test/F1,test/rssd_absolute,test/mean_rssd,test/sum_rssd,num_cells,checkpoint_path,save_idx,epoch,checkpoint_dir
249,0.2850086447114957,0.5548891354050409,0.4662349622099552,0.2850086447114957,18.95728480563257,3.6314158335251694,79.89114833755374,4052,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice249_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2550371932521376,0.4734637681914883,0.3864873784652959,0.2550371932521376,17.40596182930522,3.407687910658369,74.96913403448411,3564,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice261_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2191227509361585,0.4021384891405,0.3550337640317719,0.2191227509361585,20.719522192958,3.93693738805132,86.61262253712904,4186,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice139_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2587837492982187,0.507481386249448,0.4188233030224825,0.2587837492982187,15.618843896372631,3.0372875516440243,66.82032613616853,2800,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice319_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2393086956267323,0.4165810816439295,0.32015420446554,0.2393086956267323,22.277278850270346,4.31321127610883,94.89064807439424,4529,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice160_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2749551485355134,0.4509727300909822,0.3603268701679341,0.2749551485355134,22.065066363247563,4.0972642844943525,94.23707854337012,5021,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice119_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2507199334432975,0.4476389602988786,0.3393009356752793,0.2507199334432975,21.70130739363238,4.111041845639588,94.55396244971053,4991,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice151_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2400370944610659,0.4492383810455451,0.37499283882928,0.2400370944610659,20.64262149539853,3.9336041761118334,86.53929187446033,4389,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice189_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2750614836259396,0.4919652519161369,0.3870529354572533,0.2750614836259396,18.0907740570378,3.4840908256096883,76.64999816341314,3560,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice219_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2277702907120657,0.3519628823326992,0.2689861296416008,0.2277702907120657,15.00546665224406,2.5922258531283533,57.02896876882377,1706,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice1_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2608063114162381,0.5439318402675138,0.445955305774695,0.2608063114162381,16.269786479808438,3.10672219495669,68.34788828904718,3296,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice309_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2455942784146553,0.4158814938979509,0.2934342229931799,0.2455942784146553,22.384331623718,4.193280489514272,96.44545125882824,5155,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice129_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.26988075994361,0.5259207995263445,0.4284214888543217,0.26988075994361,18.17023253416718,3.454134235025738,75.99095317056623,3733,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice201_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2693036286579552,0.5143695655275503,0.4462050389831437,0.2693036286579552,15.773006761239603,3.0568029057748927,67.24966392704764,3780,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice300_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2493895297838342,0.3876810635513971,0.3365248310850854,0.2493895297838342,17.83749581222609,3.10656173523104,71.45091991031393,2905,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice50_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2590401426316162,0.442451115571176,0.3824432354533926,0.2590401426316162,18.23418057772533,3.348440495231922,73.66569089510229,3192,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice40_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2730784189800185,0.4475555254848167,0.3806059704823781,0.2730784189800185,20.913285846921287,3.70320499413452,85.17371486509397,4057,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice70_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.1779476956948618,0.1638326499945377,0.1509122066116276,0.1779476956948618,14.087120887111396,2.5491902316998183,50.98380463399637,1160,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice10_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
249,0.2619631131658379,0.41008408048775,0.3690329860478639,0.2619631131658379,18.01962234419175,3.1924665957644875,73.42673170258321,3316,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=249.ckpt,mouse2_slice61_0,249,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_249
499,0.2571841735721695,0.4612342897922319,0.367208680702043,0.2571841735721695,20.22115757000965,3.873225260292394,85.21095572643267,3851,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=499.ckpt,mouse2_slice280_0,499,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_499
499,0.2131096336620409,0.2813191598828217,0.2392193072809549,0.2131096336620409,10.051879178154596,1.5592400728519331,35.862521675594465,670,/nfs/team361/mv11/outputs/2025-08-22/11-06-41-MERFISH_mouse_cortex/checkpoints/epoch=499.ckpt,mouse2_slice20_0,499,/nfs/team361/mv11/scgg-reproducibility/experiments/LUNA/MERFISH_mouse_cortex_test_only/model_11-06-41-MERFISH_epoch_499
