call,slice_b,n_valid,top2_frac
295,0,2037,0.991595
296,0,2037,0.991622
297,0,2037,0.991623
298,0,2037,0.991622
299,0,2037,0.991621
300,0,2037,0.991661
301,0,5050,0.993315
302,0,5050,0.993315
303,0,5050,0.993316
304,0,5050,0.993316
305,0,5050,0.993316
306,0,5050,0.993317
307,0,5050,0.993317
308,0,5050,0.993317
309,0,5050,0.993316
310,0,5050,0.993316
311,0,5050,0.993316
312,0,5050,0.993317
313,0,5050,0.993317
314,0,5050,0.993317
315,0,5050,0.993317
316,0,5050,0.993317
317,0,5050,0.993318
318,0,5050,0.993318
319,0,5050,0.993318
320,0,5050,0.993318
321,0,5050,0.993318
322,0,5050,0.993319
323,0,5050,0.993319
324,0,5050,0.993319
325,0,5050,0.993319
326,0,5050,0.993320
327,0,5050,0.993322
328,0,5050,0.993322
329,0,5050,0.993322
330,0,5050,0.993325
331,0,5050,0.993326
332,0,5050,0.993328
333,0,5050,0.993327
334,0,5050,0.993327
335,0,5050,0.993326
336,0,5050,0.993325
337,0,5050,0.993325
338,0,5050,0.993326
339,0,5050,0.993331
340,0,5050,0.993333
341,0,5050,0.993333
342,0,5050,0.993338
343,0,5050,0.993343
344,0,5050,0.993342
345,0,5050,0.993346
346,0,5050,0.993351
347,0,5050,0.993354
348,0,5050,0.993358
349,0,5050,0.993360
350,0,5050,0.993356
351,0,5047,0.993996
352,0,5047,0.993997
353,0,5047,0.993997
354,0,5047,0.993997
355,0,5047,0.993997
356,0,5047,0.993998
357,0,5047,0.993998
358,0,5047,0.993998
359,0,5047,0.993998
360,0,5047,0.993998
361,0,5047,0.993999
362,0,5047,0.993999
363,0,5047,0.993999
364,0,5047,0.993999
365,0,5047,0.994000
366,0,5047,0.994000
367,0,5047,0.994001
368,0,5047,0.994001
369,0,5047,0.994002
370,0,5047,0.994002
371,0,5047,0.994003
372,0,5047,0.994003
373,0,5047,0.994004
374,0,5047,0.994005
375,0,5047,0.994006
376,0,5047,0.994007
377,0,5047,0.994008
378,0,5047,0.994009
379,0,5047,0.994011
380,0,5047,0.994011
381,0,5047,0.994013
382,0,5047,0.994014
383,0,5047,0.994015
384,0,5047,0.994017
385,0,5047,0.994018
386,0,5047,0.994019
387,0,5047,0.994022
388,0,5047,0.994026
389,0,5047,0.994027
390,0,5047,0.994027
391,0,5047,0.994034
392,0,5047,0.994040
393,0,5047,0.994044
394,0,5047,0.994047
395,0,5047,0.994054
396,0,5047,0.994061
397,0,5047,0.994067
398,0,5047,0.994071
399,0,5047,0.994070
400,0,5047,0.994072
