gen_loss,rec_loss,discriminating,epoch,step,degree,cluster,unique,novel,spectral,degree_degrad,cluster_degrad,spectral_degrad,avg_degrad,dis_loss
,,,43,5631,0.12692007422447205,0.11232835799455643,0.9953488111495972,0.9953488111495972,0.05143432319164276,705.55517578125,21.290910720825195,38.9230842590332,255.2563934326172,
0.0,0.0008251696708612144,0.0,43,5631,,,,,,,,,,
0.0,0.0008235058630816638,0.0,44,5759,,,,,,,,,,
,,,45,5887,0.1364016979932785,0.12592530250549316,0.9953488111495972,0.9953488111495972,0.05348365008831024,758.2640380859375,23.868099212646484,40.47391891479492,274.2020263671875,
0.0,0.0008216232527047396,1.0,45,5887,,,,,,,,,,
0.0,0.0008179447613656521,1.0,46,6015,,,,,,,,,,0.7126623392105103
,,,47,6143,0.13147039711475372,0.11391547322273254,0.9953488111495972,0.9953488111495972,0.0508306622505188,730.8507080078125,21.59173583984375,38.46626281738281,263.63623046875,
0.0,0.0008165051112882793,1.0,47,6143,,,,,,,,,,0.6708756685256958
0.0,0.0008134646923281252,1.0,48,6271,,,,,,,,,,0.6376665830612183
,,,49,6399,0.12453693151473999,0.1052510067820549,1.0,1.0,0.05025935918092728,692.3071899414062,19.949459075927734,38.03392791748047,250.09686279296875,
0.0,0.0008145873434841633,1.0,49,6399,,,,,,,,,,0.6044446229934692
0.0,0.0008140328573063016,1.0,50,6527,,,,,,,,,,0.5638988018035889
,,,51,6655,0.12946467101573944,0.13502515852451324,0.9285714030265808,0.9285714030265808,0.11307411640882492,719.7007446289062,25.59290313720703,85.5691909790039,1000.0,
0.5100473165512085,0.012044919654726982,1.0,51,6655,,,,,,,,,,0.7287763953208923
0.6557043790817261,0.005434719379991293,1.0,52,6783,,,,,,,,,,0.7243746519088745
,,,53,6911,0.16313989460468292,0.058420296758413315,0.9615384340286255,0.9615384340286255,0.11050767451524734,906.9030151367188,11.073083877563477,83.62702941894531,333.8677062988281,
0.6582142114639282,0.002989387372508645,1.0,53,6911,,,,,,,,,,0.7100082635879517
0.6736502051353455,0.003509512636810541,1.0,54,7039,,,,,,,,,,0.7075741291046143
,,,55,7167,0.137600839138031,0.04995868355035782,0.88165682554245,0.88165682554245,0.1247263178229332,764.9301147460938,9.469255447387695,94.38703155517578,289.595458984375,
0.6615500450134277,0.002994215115904808,1.0,55,7167,,,,,,,,,,0.7165245413780212
0.6641351580619812,0.0026350475382059813,1.0,56,7295,,,,,,,,,,0.707392156124115
,,,57,7423,0.20788070559501648,0.07074044644832611,0.692307710647583,0.692307710647583,0.16876380145549774,1155.6195068359375,13.4082670211792,127.71253204345703,432.2467956542969,
0.6681045293807983,0.002598721534013748,1.0,57,7423,,,,,,,,,,0.7080515623092651
0.6612949371337891,0.0026178197003901005,1.0,58,7551,,,,,,,,,,0.703199565410614
,,,59,7679,0.3659306764602661,0.1303701251745224,0.6345177888870239,0.6345177888870239,0.22976388037204742,2034.2274169921875,24.71057891845703,173.87452697753906,744.2708129882812,
0.697468638420105,0.0027165079955011606,1.0,59,7679,,,,,,,,,,0.6974388360977173
0.6826761364936829,0.0027498819399625063,1.0,60,7807,,,,,,,,,,0.702180802822113
,,,61,7935,0.488267719745636,0.2841806709766388,0.4637681245803833,0.4637681245803833,0.29273176193237305,2714.30517578125,53.864097595214844,221.52566528320312,996.56494140625,
0.6743243932723999,0.0028588436543941498,1.0,61,7935,,,,,,,,,,0.7055209279060364
0.6794816851615906,0.002967263339087367,1.0,62,8063,,,,,,,,,,0.7032942175865173
,,,63,8191,0.5237501859664917,0.4130641222000122,0.39772728085517883,0.39772728085517883,0.3169475793838501,2911.55419921875,78.29289245605469,239.85107421875,1076.5660400390625,
0.6831350326538086,0.0030345418490469456,1.0,63,8191,,,,,,,,,,0.7022964954376221
0.6898112297058105,0.003138627391308546,1.0,64,8319,,,,,,,,,,0.7017624378204346
,,,65,8447,0.5068784952163696,0.3420797884464264,0.5,0.5,0.2990214228630066,2817.763427734375,64.83839416503906,226.28538513183594,1036.2957763671875,
0.6790850758552551,0.0031965102534741163,1.0,65,8447,,,,,,,,,,0.7008703351020813
0.6848264932632446,0.0032908821012824774,1.0,66,8575,,,,,,,,,,0.7005751729011536
,,,67,8703,0.4306849241256714,0.2292485237121582,0.7854077219963074,0.7854077219963074,0.25463202595710754,2394.199462890625,43.45216369628906,192.69357299804688,876.78173828125,
0.674712061882019,0.0034625977277755737,1.0,67,8703,,,,,,,,,,0.699490487575531
0.6904011964797974,0.0036017217207700014,1.0,68,8831,,,,,,,,,,0.6981998085975647
,,,69,8959,0.32954832911491394,0.11775249987840652,0.8931623697280884,0.8931623697280884,0.19214697182178497,1831.97607421875,22.319013595581055,145.40782165527344,666.567626953125,
0.6980888843536377,0.003916752990335226,1.0,69,8959,,,,,,,,,,0.6978959441184998
0.6963185667991638,0.004149841144680977,1.0,70,9087,,,,,,,,,,0.6965009570121765
,,,71,9215,0.4080842435359955,0.1980542689561844,0.7843137383460999,0.7843137383460999,0.24738065898418427,2268.561279296875,37.53955078125,187.20608520507812,831.102294921875,
0.7039772868156433,0.004306331276893616,1.0,71,9215,,,,,,,,,,0.695966899394989
0.6932060718536377,0.004653183743357658,1.0,72,9343,,,,,,,,,,0.6953837275505066
,,,73,9471,0.1898520588874817,0.037284690886735916,0.9642857313156128,0.9642857313156128,0.06345782428979874,1055.3973388671875,7.067004680633545,48.021907806396484,370.1620788574219,
0.6961668729782104,0.005501653533428907,1.0,73,9471,,,,,,,,,,0.6945014595985413
0.7031981945037842,0.0066099707037210464,1.0,74,9599,,,,,,,,,,0.6925431489944458
,,,75,9727,0.5288405418395996,0.40267348289489746,0.5281690359115601,0.5281690359115601,0.320881187915802,2939.851806640625,76.32343292236328,242.8278350830078,1086.3343505859375,
0.6944350600242615,0.004165079910308123,1.0,75,9727,,,,,,,,,,0.6997041702270508
0.6940600275993347,0.0036040269769728184,1.0,76,9855,,,,,,,,,,0.6991758346557617
,,,77,9983,0.5768741369247437,0.6164921522140503,0.30573248863220215,0.30573248863220215,0.33892178535461426,3206.872802734375,116.85099029541016,256.4801025390625,1193.4013671875,
0.6937018632888794,0.003624479752033949,1.0,77,9983,,,,,,,,,,0.6999037861824036
0.6888598799705505,0.0035958413500338793,1.0,78,10111,,,,,,,,,,0.7077442407608032
,,,79,10239,0.6370441317558289,0.8392507433891296,0.3499999940395355,0.3499999940395355,0.3936983048915863,3541.361083984375,159.0730438232422,297.9324035644531,1332.788818359375,
0.6903619170188904,0.0035659230779856443,1.0,79,10239,,,,,,,,,,0.7072163224220276
0.6801586151123047,0.0036884588189423084,1.0,80,10367,,,,,,,,,,0.7031970620155334
,,,81,10495,0.7095814943313599,1.0202620029449463,0.2857142984867096,0.2857142984867096,0.42777910828590393,3944.599853515625,193.38223266601562,323.7231750488281,1000.0,
0.7028511762619019,0.0036649538669735193,1.0,81,10495,,,,,,,,,,0.6925288438796997
0.7050512433052063,0.003540660487487912,1.0,82,10623,,,,,,,,,,0.6930804252624512
,,,83,10751,0.5445299744606018,0.4872277081012726,0.28070175647735596,0.28070175647735596,0.32780763506889343,3027.070068359375,92.34998321533203,248.06944274902344,1122.4964599609375,
0.6743693947792053,0.003342433599755168,1.0,83,10751,,,,,,,,,,0.6972955465316772
0.682521402835846,0.003484186949208379,1.0,84,10879,,,,,,,,,,0.6935045719146729
,,,85,11007,0.20304425060749054,0.04849831387400627,0.910179615020752,0.910179615020752,0.0996343344449997,1128.7333984375,9.19245433807373,75.39859008789062,404.4414978027344,
0.6734397411346436,0.00507697556167841,1.0,85,11007,,,,,,,,,,0.6928309202194214
0.6964449286460876,0.005921655334532261,1.0,86,11135,,,,,,,,,,0.6938897371292114
,,,87,11263,0.17318566143512726,0.043172989040613174,0.9205020666122437,0.9205020666122437,0.07902292907238007,962.7479858398438,8.183083534240723,59.800846099853516,343.5773010253906,
0.686823308467865,0.005602939985692501,1.0,87,11263,,,,,,,,,,0.6925613880157471
0.6789947152137756,0.006347121205180883,1.0,88,11391,,,,,,,,,,0.6931251287460327
,,,89,11519,0.1810723841190338,0.05147908627986908,0.9294605851173401,0.9294605851173401,0.08063631504774094,1006.5906372070312,9.757434844970703,61.02178192138672,359.123291015625,
0.7026819586753845,0.0057664187625050545,1.0,89,11519,,,,,,,,,,0.6941549181938171
0.6941830515861511,0.005279166623950005,1.0,90,11647,,,,,,,,,,0.6934113502502441
,,,91,11775,0.18121206760406494,0.04839351773262024,0.9306122660636902,0.9306122660636902,0.07975313812494278,1007.3671875,9.172591209411621,60.35343551635742,358.9643859863281,
0.6908138394355774,0.005593657027930021,1.0,91,11775,,,,,,,,,,0.6930105090141296
0.708911657333374,0.005607686471194029,1.0,92,11903,,,,,,,,,,0.6927357912063599
,,,93,12031,0.17628374695777893,0.05064815655350685,0.9380165338516235,0.9380165338516235,0.07851142436265945,979.9703979492188,9.599939346313477,59.41376495361328,349.661376953125,
0.6934380531311035,0.005569006782025099,1.0,93,12031,,,,,,,,,,0.6941289901733398
0.7045025825500488,0.005564488936215639,1.0,94,12159,,,,,,,,,,0.6931679248809814
,,,95,12287,0.17423419654369354,0.043809741735458374,0.9469387531280518,0.9469387531280518,0.06743419170379639,968.5768432617188,8.3037748336792,51.031036376953125,342.63720703125,
0.701916515827179,0.005900300573557615,1.0,95,12287,,,,,,,,,,0.6914137601852417
0.6912752985954285,0.006631001830101013,1.0,96,12415,,,,,,,,,,0.6938685774803162
,,,97,12543,0.21137414872646332,0.06273791193962097,0.9382715821266174,0.9382715821266174,0.0903148278594017,1175.0396728515625,11.89145278930664,68.34602355957031,418.4257507324219,
0.6955060958862305,0.0065888031385838985,1.0,97,12543,,,,,,,,,,0.6938181519508362
0.6984907388687134,0.007025274448096752,1.0,98,12671,,,,,,,,,,0.6931456923484802
,,,99,12799,0.19168128073215485,0.05484708771109581,0.9387755393981934,0.9387755393981934,0.08155403286218643,1065.5660400390625,10.395812034606934,61.71626663208008,379.2260437011719,
0.691694974899292,0.006614611484110355,1.0,99,12799,,,,,,,,,,0.6925060749053955
